game_id,competition_id,season,date,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance
2330983,FR1,2013,2014-01-11,1041,750,2,0,Stade de Gerland,36099
2330989,FR1,2013,2014-01-11,273,417,0,0,Roazhon Park,13202
2330982,FR1,2013,2014-01-11,855,618,0,0,Stade du Roudourou,13539
2331001,FR1,2013,2014-02-01,618,1423,3,0,Stade Geoffroy-Guichard,19839
2330984,FR1,2013,2014-01-11,1147,583,1,2,Stade François-Coty,6721
2330987,FR1,2013,2014-01-10,969,162,1,1,Stade de la Mosson,15476
2331024,FR1,2013,2014-01-18,750,969,0,2,Stade Auguste-Bonal,16909
2330990,FR1,2013,2013-12-22,244,40,2,2,Orange Vélodrome,38720
2330992,FR1,2013,2013-12-21,415,855,0,0,Stadium Municipal,13085
2330985,FR1,2013,2013-12-21,750,273,2,1,Stade Auguste-Bonal,15170
2330994,FR1,2013,2014-01-12,14171,244,1,2,Parc des Sports d’Annecy,14746
2330979,FR1,2013,2013-12-21,417,14171,3,1,Allianz Riviera,20788
2330975,FR1,2013,2013-12-21,595,969,0,0,Stade Armand-Cesari,12903
2330980,FR1,2013,2013-12-21,1421,1147,4,1,Stade Auguste-Delaune,14522
2330976,FR1,2013,2013-12-20,162,1423,1,2,Stade Louis-II,6299
2330958,FR1,2013,2013-12-15,1041,244,2,2,Stade de Gerland,36214
2330957,FR1,2013,2013-12-15,1082,595,2,1,Decathlon Arena-Stade Pierre-Mauroy,37682
2330978,FR1,2013,2014-01-11,40,415,0,1,Matmut Atlantique,15058
2330965,FR1,2013,2013-12-14,14171,1421,1,1,Parc des Sports d’Annecy,8769
2330948,FR1,2013,2013-12-15,40,1423,2,1,Matmut Atlantique,22165
2330988,FR1,2013,2013-12-22,1158,1041,2,2,Stade du Moustoir,16111
2330991,FR1,2013,2013-12-21,618,995,2,0,Stade Geoffroy-Guichard,33704
2331019,FR1,2013,2014-01-19,583,995,5,0,Parc des Princes,45956
2330956,FR1,2013,2013-12-14,855,162,0,2,Stade du Roudourou,14576
2330977,FR1,2013,2013-12-22,583,1082,2,2,Parc des Princes,45844
2330974,FR1,2013,2014-01-08,618,14171,1,0,Stade Geoffroy-Guichard,27305
2330959,FR1,2013,2013-12-13,969,618,0,1,Stade de la Mosson,13284
2330973,FR1,2013,2013-12-14,273,583,1,3,Roazhon Park,19000
2330949,FR1,2013,2013-12-14,995,415,1,2,Stade de la Beaujoire,27249
