,club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
301,44,hertha-bsc,Hertha Bsc,L1,81.5,31,25.8,16,51.6,6,Olympiastadion Berlin,74649,+£18.99m,Felix Magath,https://www.transfermarkt.co.uk/hertha-bsc/startseite/verein/44
302,60,sc-freiburg,Sc Freiburg,L1,142.61,27,25.4,11,40.7,7,Europa-Park Stadion,34700,+£4.55m,Christian Streich,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60
303,237,rcd-mallorca,Rcd Mallorca,ES1,58.95,27,27.8,13,48.1,7,Son Moix,20500,£-900Th.,Javier Aguirre,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
304,1531,fc-elche,Fc Elche,ES1,59.04,24,29.6,10,41.7,4,Manuel Martínez Valero,33732,£-7.20m,Francisco Rodríguez,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531
305,39,1-fsv-mainz-05,1 Fsv Mainz 05,L1,110.79,25,25.2,13,52.0,6,Mewa Arena,33305,+£10.04m,Bo Svensson,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39
306,3,1-fc-koln,1 Fc Koln,L1,84.67,28,25.3,11,39.3,7,RheinEnergieSTADION,50000,+£20.61m,Steffen Baumgart,https://www.transfermarkt.co.uk/1-fc-koln/startseite/verein/3
307,24,eintracht-frankfurt,Eintracht Frankfurt,L1,201.6,32,25.4,20,62.5,13,Deutsche Bank Park,51500,+£13.10m,Oliver Glasner,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24
308,1050,fc-villarreal,Fc Villarreal,ES1,347.85,25,28.4,11,44.0,13,La Cerámica,23500,£-39.38m,Unai Emery,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
309,23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,404.28,25,24.9,19,76.0,16,Red Bull Arena,47069,+£5.29m,Domenico Tedesco,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826
310,82,vfl-wolfsburg,Vfl Wolfsburg,L1,200.43,28,25.1,18,64.3,12,Volkswagen Arena,30000,£-53.85m,Michael Frontzeck,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
311,27,fc-bayern-munchen,Fc Bayern Munchen,L1,692.55,26,25.9,15,57.7,20,Allianz Arena,75024,£-48.15m,Julian Nagelsmann,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
312,79,vfb-stuttgart,Vfb Stuttgart,L1,148.77,31,22.8,18,58.1,7,Mercedes-Benz Arena,60449,+£22.56m,Pellegrino Matarazzo,https://www.transfermarkt.co.uk/vfb-stuttgart/startseite/verein/79
314,18,borussia-monchengladbach,Borussia Monchengladbach,L1,183.78,26,26.0,13,50.0,11,Stadion im Borussia-Park,54022,£-7.47m,Adi Hütter,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
318,533,tsg-1899-hoffenheim,Tsg 1899 Hoffenheim,L1,180.63,30,25.7,17,56.7,14,PreZero Arena,30150,+£765Th.,Sebastian Hoeneß,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
334,3368,ud-levante,Ud Levante,ES1,66.51,28,28.5,9,32.1,4,Ciutat de València,25354,£-1.13m,Mehdi Nafti,https://www.transfermarkt.co.uk/ud-levante/startseite/verein/3368
339,150,real-betis-sevilla,Real Betis Sevilla,ES1,224.1,27,29.2,11,40.7,9,Benito Villamarín,59378,+£9.45m,Manuel Pellegrini,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
340,16,borussia-dortmund,Borussia Dortmund,L1,484.79,34,24.6,19,55.9,16,SIGNAL IDUNA PARK,81365,+£56.93m,Matthias Kleinsteiber,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16
365,15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,390.65,27,24.9,20,74.1,14,BayArena,30210,£-11.03m,Gerardo Seoane,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15
380,40,fc-girondins-bordeaux,Fc Girondins Bordeaux,FR1,75.51,31,25.2,19,61.3,11,Matmut Atlantique,42052,+£7.47m,David Guion,https://www.transfermarkt.co.uk/fc-girondins-bordeaux/startseite/verein/40
381,3911,stade-brest-29,Stade Brest 29,FR1,77.0,26,25.7,8,30.8,5,Stade Francis-Le Blé,15097,+£16.83m,Michel Der Zakarian,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
386,618,as-saint-etienne,As Saint Etienne,FR1,86.67,29,25.3,15,51.7,8,Stade Geoffroy-Guichard,42000,£-540Th.,Laurent Batlles,https://www.transfermarkt.co.uk/as-saint-etienne/startseite/verein/618
388,1082,losc-lille,Losc Lille,FR1,207.99,23,26.3,18,78.3,11,Stade Pierre-Mauroy,50186,+£49.91m,Jorge Maciel,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
390,995,fc-nantes,Fc Nantes,FR1,98.51,25,26.2,11,44.0,7,Stade de la Beaujoire,37463,+£7.47m,Antoine Kombouaré,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
391,244,olympique-marseille,Olympique Marseille,FR1,243.54,28,24.4,17,60.7,14,Orange Vélodrome,67394,£-35.66m,Jorge Sampaoli,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244
392,273,fc-stade-rennes,Fc Stade Rennes,FR1,215.82,26,24.1,10,38.5,9,Roazhon Park,29778,£-30.47m,Bruno Génésio,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
393,162,as-monaco,As Monaco,FR1,339.98,29,24.6,29,100.0,8,Stade Louis-II,18523,£-9.68m,Philippe Clement,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
395,826,rc-lens,Rc Lens,FR1,130.28,23,25.9,14,60.9,11,Stade Bollaert-Delelis,38223,£-2.34m,Franck Haise,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
396,969,montpellier-hsc,Montpellier Hsc,FR1,99.86,26,25.3,11,42.3,5,Stade de la Mosson,32939,+£22.32m,Olivier Dall'Oglio,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
397,1041,olympique-lyon,Olympique Lyon,FR1,298.04,28,24.6,15,53.6,9,Groupama Stadium,59186,+£65.41m,Peter Bosz,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
398,1421,stade-reims,Stade Reims,FR1,118.4,30,23.9,21,70.0,13,Stade Auguste-Delaune,21684,£-855Th.,Óscar García,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
399,417,ogc-nizza,Ogc Nizza,FR1,221.63,26,24.5,17,65.4,7,Allianz Riviera,36178,£-26.91m,Christophe Galtier,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
400,667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,103.1,24,26.3,10,41.7,5,Stade de la Meinau,29000,+£10.35m,Julien Stéphan,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
